id,module_id,name,difficulty,core,summary,prerequisites,objectives,boundaries,provenance
RAG-M03-N03,RAG-M03,BM25、关键词检索与精确术语召回,2,True,关键词检索根据词项出现和区分度排序，擅长编号、产品名、错误码、函数名和罕见术语。它与向量检索互补，是混合检索不可缺少的基线。,"[""RAG-M02-N03""]","[""解释稀疏检索对精确词项的价值"", ""识别分词、停用词和领域词典对中文检索的影响"", ""设计关键词检索基线""]","[""保留原始查询与规范化查询"", ""领域词典需要版本化"", ""关键词权重需通过评测调整""]",
RAG-M03-N04,RAG-M03,混合检索、分数融合与RRF,3,True,混合检索利用关键词的精确匹配和向量的语义匹配。RRF按照多个结果列表中的排名融合，不要求原始分数位于同一尺度，适合作为稳定基线。,"[""RAG-M03-N01"", ""RAG-M03-N03""]","[""组合关键词和向量检索结果"", ""理解分数归一化与基于排名融合的差异"", ""通过固定评测集确定融合参数""]","[""融合前保留原始排名"", ""禁止跨权限融合"", ""必须报告单路与混合的消融结果""]",
RAG-M04-N01,RAG-M04,查询理解、意图识别与查询改写,2,True,用户问题往往包含省略、上下文指代、拼写和多个子问题。查询处理应在不改变原意的前提下生成检索计划，并保留原始问题用于审计。,"[""RAG-M03-N04""]","[""识别定义、比较、步骤、故障、多跳和拒答意图"", ""把口语、指代和缩写转换为可检索表达"", ""控制查询扩展避免语义漂移""]","[""关键限定词不得丢失"", ""每次改写要可追踪"", ""高不确定性优先追问或多路检索""]",
RAG-M04-N02,RAG-M04,元数据过滤、租户隔离与权限检索,3,True,权限必须在检索层实施，而不是先检索敏感内容再让生成模型“不要显示”。所有查询都应绑定调用者、组织、激活知识版本和允许的安全标签。,"[""RAG-M02-N04"", ""RAG-M04-N01""]","[""在召回前应用租户、角色、版本和有效期过滤"", ""防止检索侧数据越权"", ""验证过滤与近似索引的交互""]","[""权限条件由后端注入且不可被Agent覆盖"", ""拒绝日志不得包含敏感正文"", ""版本和有效期过滤为强制字段""]",
RAG-M04-N03,RAG-M04,候选重排、交叉编码器与多阶段检索,3,True,第一阶段检索追求召回，重排阶段用更精细的查询-片段交互提高头部相关性。重排不是替代召回；候选中没有正确证据时，再强的重排也无法恢复。,"[""RAG-M03-N04"", ""RAG-M04-N02""]","[""理解召回与精排的职责差异"", ""设计候选池和重排top-n参数"", ""测量重排收益、时延和失败模式""]","[""保留重排前后排名"", ""候选池参数需版本化"", ""重排超时必须有降级路径""]",
RAG-M04-N04,RAG-M04,上下文选择、压缩、排序与引用封装,4,True,最终送入模型的不是检索结果列表，而是经过权限校验、去重、冲突标记、压缩和排序的证据包。更多上下文不一定更好，关键证据应保持完整并可引用。,"[""RAG-M04-N03""]","[""在token预算内选择高价值证据"", ""处理重复、冲突和长上下文位置问题"", ""构建带证据ID的上下文包""]","[""关键条件不得因压缩丢失"", ""证据包必须可复现"", ""冲突证据不得静默合并""]",
RAG-M05-N01,RAG-M05,证据约束生成、引用与答案结构,2,True,可信生成要求模型明确知道可用证据、允许的任务和禁止扩写范围。答案中的关键专业结论应绑定证据，推断应被标注，证据不足时不能用常识补齐。,"[""RAG-M04-N04""]","[""设计只基于证据生成的提示和输出结构"", ""把关键陈述与evidence_id绑定"", ""区分事实陈述、推断和教学改写""]","[""无证据的专业陈述不得发布"", ""类比必须标记其边界"", ""输出先过Schema再进入事实审核""]",
RAG-M05-N02,RAG-M05,证据不足、拒答、追问与人工转交,2,True,可信系统必须知道何时不回答。证据不足不应被视为失败，而应触发扩大检索、澄清问题、说明知识边界或转人工的确定性策略。,"[""RAG-M05-N01""]","[""定义证据充分性和拒答阈值"", ""区分拒答、追问、扩大检索和人工审核"", ""避免系统自信回答知识库外问题""]","[""高风险无证据必须拒答或转人工"", ""拒答不得暴露受限资料"", ""每次拒答记录原因代码""]",
RAG-M05-N03,RAG-M05,幻觉分类、事实审核与交叉验证,3,True,幻觉不能只用一个总分表示。审核应逐项识别无证据陈述、与证据矛盾、引用不支持、条件丢失、数值或代码错误，并给出通过、修改、补检索或人工审核动作。,"[""RAG-M05-N01"", ""RAG-M05-N02""]","[""区分无依据、矛盾、引用错配和过度概括"", ""设计审核智能体的独立证据检查"", ""计算专业知识谬误率""]","[""审核不得只使用生成器摘要"", ""阻断级问题禁止自动发布"", ""谬误率必须使用固定口径""]",
RAG-M05-N04,RAG-M05,提示注入、不可信文档与知识库安全,4,True,RAG会把外部文档送入模型，因此文档中的恶意指令可能影响模型。所有检索内容都应被视为不可信数据，不能获得系统指令或工具权限。,"[""RAG-M02-N01"", ""RAG-M04-N02"", ""RAG-M05-N03""]","[""识别用户直接注入和文档间接注入"", ""把知识内容与系统指令隔离"", ""设计输入、工具、输出和发布多层防线""]","[""检索证据永远视为不可信数据"", ""Agent不得从文档获得额外权限"", ""可疑来源先隔离后审核""]",
RAG-M06-N01,RAG-M06,检索评测：Hit Rate、Recall、MRR与nDCG,2,True,检索评测必须脱离生成模型单独进行。Hit Rate关注是否命中，Recall关注相关证据覆盖，MRR关注首个相关结果位置，nDCG考虑多级相关性和排序。,"[""RAG-M01-N04"", ""RAG-M04-N03""]","[""构建查询与相关证据标注集"", ""计算常用检索指标并解释差异"", ""按查询类型定位检索失败""]","[""测试集需固定版本"", ""标注需保留依据"", ""发布报告必须包含分类型指标""]",
RAG-M06-N02,RAG-M06,生成评测：忠实度、引用、完整性与适配,3,True,生成评测应判断答案是否被证据支持、是否覆盖任务要求、引用是否准确、表达是否适合目标学习者。一个答案可能事实正确但不完整，也可能难度错配。,"[""RAG-M05-N03"", ""RAG-M06-N01""]","[""分解答案为可验证专业陈述"", ""评估证据忠实度和引用支持关系"", ""测量学习者画像与资源难度适配""]","[""专业谬误率需人工或权威规则确认"", ""自动评审Prompt和模型要版本化"", ""适配评测必须覆盖多类画像""]",
RAG-M06-N03,RAG-M06,端到端回归、消融实验与发布门禁,3,True,RAG系统的改动可能改善一个指标同时损害另一个。每次知识、切片、嵌入、检索、重排、Prompt或模型变更，都应在固定数据集上回归并与基线比较。,"[""RAG-M06-N01"", ""RAG-M06-N02""]","[""建立版本级回归流程"", ""通过消融识别每个组件真实贡献"", ""定义阻断发布的质量门禁""]","[""回归数据集不可随意删除失败案例"", ""阻断门禁需负责人批准变更"", ""报告必须保留基线版本""]",
RAG-M06-N04,RAG-M06,可观测性、成本、时延与故障定位,4,True,生产RAG需要把一次请求拆解为可观测事件。关联ID、知识版本、检索结果、模型调用、审核和决策必须串联，才能解释系统为何给出某个结果。,"[""RAG-M01-N02"", ""RAG-M06-N03""]","[""设计跨后端、检索、Agent和模型的追踪字段"", ""分解时延和成本"", ""用事件回放定位失败节点""]","[""前端状态必须来自后端事件"", ""敏感正文不进入普通日志"", ""指标需绑定明确版本""]",
RAG-M07-N01,RAG-M07,父子检索、层级检索与长文档问答,3,False,层级检索用较小叶子节点提高命中精度，再返回对应父节点或邻接节点补充完整上下文，适合教材、规范和章节结构明显的长文档。,"[""RAG-M02-N03"", ""RAG-M04-N04""]","[""设计父节点和叶子节点的层级关系"", ""用小块定位、大块补充上下文"", ""评测层级检索对长文档问题的收益""]","[""父子关系必须可验证"", ""权限在父子回溯时仍生效"", ""长文档策略需与普通混合检索对比""]",
RAG-M07-N02,RAG-M07,GraphRAG、实体关系与局部/全局查询,4,False,GraphRAG把实体、关系和社区结构用于检索，适合多跳关系、依赖链和整体主题问题。它不是普通问答的默认方案，图抽取错误和构建成本必须通过评测证明值得。,"[""RAG-M02-N04"", ""RAG-M06-N01""]","[""判断何时需要图结构而不是纯文本相似度"", ""区分局部实体查询与全局主题查询"", ""理解图构建成本和证据回溯要求""]","[""图边必须有来源证据"", ""全局查询必须设置成本上限"", ""图策略上线前需证明相对基线收益""]",
RAG-M07-N03,RAG-M07,Agentic RAG、问题分解与检索自修复,4,False,Agentic RAG把固定检索流水线扩展为受策略约束的计划-执行-检查循环。它适合复杂、多跳或证据不足的问题，普通事实问题仍应走低成本确定性路径。,"[""RAG-M04-N01"", ""RAG-M05-N02"", ""RAG-M06-N04""]","[""让Agent根据问题选择检索工具和步骤"", ""设计证据充分性检查与重试上限"", ""避免无限循环和不可解释的自主行为""]","[""工具与状态边由代码控制"", ""循环有硬上限"", ""高风险工具必须人工确认""]",
RAG-M07-N04,RAG-M07,结构化、代码与多模态知识路由,5,False,不是所有知识都应转成普通文本向量。表格和实时指标应结构化查询，代码应保留符号与调用关系，图片和流程图需要视觉或说明索引，再由检索计划组合证据。,"[""RAG-M01-N04"", ""RAG-M07-N03""]","[""按知识类型选择结构化查询、符号检索或多模态索引"", ""组合多种证据并保留来源"", ""设计路由错误的降级策略""]","[""精确数值优先结构化查询"", ""代码保留符号关系"", ""视觉证据保留原始资产引用""]",
RAG-M08-N01,RAG-M08,知识服务API、契约与Agent集成,2,True,知识库应作为可替换服务或模块向后端和Agent提供稳定契约。调用者传入知识版本、查询、top-k和不可覆盖的过滤条件，返回结构化证据而不是自由文本答案。,"[""RAG-M01-N02"", ""RAG-M02-N04""]","[""定义检索请求、响应和证据对象"", ""使用OpenAPI与JSON Schema冻结边界"", ""实现版本、幂等、错误码和兼容性策略""]","[""浏览器不得直接访问内部检索服务"", ""所有输出先过Schema"", ""破坏性变更需要显式版本""]",
RAG-M08-N02,RAG-M08,持久化、事务、缓存与一致性,3,True,PostgreSQL保存权威元数据、画像、证据和事件；对象存储保存原始大文件；Redis用于缓存、锁和短期队列。前端和专业Agent均不直接任意写数据库。,"[""RAG-M02-N04"", ""RAG-M08-N01""]","[""把权威业务数据、知识元数据、文件和缓存分层存储"", ""控制版本发布与激活事务"", ""设计缓存键和失效策略""]","[""客户端不持有数据库凭据"", ""缓存必须可重建"", ""激活版本切换需要事务与审计""]",
RAG-M08-N03,RAG-M08,性能、批处理、缓存与容量规划,4,False,性能优化必须建立在质量门禁之上。通过批量嵌入、索引调优、缓存、并行召回和分层模型降低成本，同时监测召回退化和长尾时延。,"[""RAG-M03-N02"", ""RAG-M06-N04"", ""RAG-M08-N02""]","[""建立容量模型与负载测试"", ""优化嵌入、检索、重排和模型调用"", ""设计超时、降级与背压""]","[""性能优化不得突破质量下限"", ""所有外部调用有超时"", ""系统必须有背压和降级""]",
RAG-M08-N04,RAG-M08,本地开发、容器部署、安全与运维,5,False,开发期可以在本机用Docker Compose运行完整依赖，代码通过GitHub协作；部署时将同样的服务边界迁移到Linux服务器。逻辑分离比是否同一台机器更重要。,"[""RAG-M08-N01"", ""RAG-M08-N02"", ""RAG-M08-N03""]","[""用本地容器环境支持多人并行开发"", ""把前端、后端、Agent、数据库和缓存逻辑隔离"", ""制定生产安全、备份、迁移和回滚计划""]","[""密钥不进Git"", ""内部端口不对公网"", ""发布前必须验证备份和回滚""]",
RAG-SUB-rag_definition,RAG-M01,RAG基本定义,1,True,理解检索增强生成如何把外部知识检索与语言模型生成结合起来。,[],"[""理解检索增强生成如何把外部知识检索与语言模型生成结合起来。"", ""能在工程场景中识别并应用“RAG基本定义”的关键约束。"", ""能够使用可复现指标评估“RAG基本定义”的收益、成本、风险与适用边界。""]","[""内容来自第二份专业 AI 知识包，已纳入默认检索。"", ""当前信任级别为 trusted_ai_generated，仍需团队后续抽样和逐项复核。"", ""关键专业结论必须绑定 evidence_id，并在证据不足时拒答或转人工复核。""]","{""origin_package"": ""RAG工程实训知识库_v1.0"", ""origin_node_id"": ""rag_definition"", ""trust_tier"": ""trusted_ai_generated"", ""review_status"": ""pending_team_review"", ""enabled_for_runtime"": true}"
RAG-SUB-rag_end_to_end_architecture,RAG-M01,RAG端到端架构,1,True,掌握从知识接入到检索、生成、引用、反馈和评测的完整链路。,"[""RAG-SUB-rag_definition""]","[""掌握从知识接入到检索、生成、引用、反馈和评测的完整链路。"", ""能在工程场景中识别并应用“RAG端到端架构”的关键约束。"", ""能够使用可复现指标评估“RAG端到端架构”的收益、成本、风险与适用边界。""]","[""内容来自第二份专业 AI 知识包，已纳入默认检索。"", ""当前信任级别为 trusted_ai_generated，仍需团队后续抽样和逐项复核。"", ""关键专业结论必须绑定 evidence_id，并在证据不足时拒答或转人工复核。""]","{""origin_package"": ""RAG工程实训知识库_v1.0"", ""origin_node_id"": ""rag_end_to_end_architecture"", ""trust_tier"": ""trusted_ai_generated"", ""review_status"": ""pending_team_review"", ""enabled_for_runtime"": true}"
RAG-SUB-parametric_nonparametric_memory,RAG-M01,参数记忆与外部记忆,2,False,区分模型参数中的知识与可检索外部知识，并理解二者协作方式。,"[""RAG-SUB-rag_end_to_end_architecture""]","[""区分模型参数中的知识与可检索外部知识，并理解二者协作方式。"", ""能在工程场景中识别并应用“参数记忆与外部记忆”的关键约束。"", ""能够使用可复现指标评估“参数记忆与外部记忆”的收益、成本、风险与适用边界。""]","[""内容来自第二份专业 AI 知识包，已纳入默认检索。"", ""当前信任级别为 trusted_ai_generated，仍需团队后续抽样和逐项复核。"", ""关键专业结论必须绑定 evidence_id，并在证据不足时拒答或转人工复核。""]","{""origin_package"": ""RAG工程实训知识库_v1.0"", ""origin_node_id"": ""parametric_nonparametric_memory"", ""trust_tier"": ""trusted_ai_generated"", ""review_status"": ""pending_team_review"", ""enabled_for_runtime"": true}"
RAG-SUB-rag_applicability,RAG-M01,RAG适用性判断,2,False,判断某个业务问题是否应该采用RAG，以及应采用多复杂的方案。,"[""RAG-SUB-parametric_nonparametric_memory""]","[""判断某个业务问题是否应该采用RAG，以及应采用多复杂的方案。"", ""能在工程场景中识别并应用“RAG适用性判断”的关键约束。"", ""能够使用可复现指标评估“RAG适用性判断”的收益、成本、风险与适用边界。""]","[""内容来自第二份专业 AI 知识包，已纳入默认检索。"", ""当前信任级别为 trusted_ai_generated，仍需团队后续抽样和逐项复核。"", ""关键专业结论必须绑定 evidence_id，并在证据不足时拒答或转人工复核。""]","{""origin_package"": ""RAG工程实训知识库_v1.0"", ""origin_node_id"": ""rag_applicability"", ""trust_tier"": ""trusted_ai_generated"", ""review_status"": ""pending_team_review"", ""enabled_for_runtime"": true}"
RAG-SUB-rag_failure_taxonomy,RAG-M01,RAG失败类型,2,True,能够把错误拆分为知识、检索、上下文、生成和治理等不同类别。,"[""RAG-SUB-rag_applicability""]","[""能够把错误拆分为知识、检索、上下文、生成和治理等不同类别。"", ""能在工程场景中识别并应用“RAG失败类型”的关键约束。"", ""能够使用可复现指标评估“RAG失败类型”的收益、成本、风险与适用边界。""]","[""内容来自第二份专业 AI 知识包，已纳入默认检索。"", ""当前信任级别为 trusted_ai_generated，仍需团队后续抽样和逐项复核。"", ""关键专业结论必须绑定 evidence_id，并在证据不足时拒答或转人工复核。""]","{""origin_package"": ""RAG工程实训知识库_v1.0"", ""origin_node_id"": ""rag_failure_taxonomy"", ""trust_tier"": ""trusted_ai_generated"", ""review_status"": ""pending_team_review"", ""enabled_for_runtime"": true}"
RAG-SUB-knowledge_source_selection,RAG-M02,知识源选择,1,True,选择覆盖目标岗位且具备权威性、时效性和可授权性的知识来源。,"[""RAG-SUB-rag_failure_taxonomy""]","[""选择覆盖目标岗位且具备权威性、时效性和可授权性的知识来源。"", ""能在工程场景中识别并应用“知识源选择”的关键约束。"", ""能够使用可复现指标评估“知识源选择”的收益、成本、风险与适用边界。""]","[""内容来自第二份专业 AI 知识包，已纳入默认检索。"", ""当前信任级别为 trusted_ai_generated，仍需团队后续抽样和逐项复核。"", ""关键专业结论必须绑定 evidence_id，并在证据不足时拒答或转人工复核。""]","{""origin_package"": ""RAG工程实训知识库_v1.0"", ""origin_node_id"": ""knowledge_source_selection"", ""trust_tier"": ""trusted_ai_generated"", ""review_status"": ""pending_team_review"", ""enabled_for_runtime"": true}"
RAG-SUB-source_authority_provenance,RAG-M02,来源权威性与溯源,2,True,为知识片段建立从回答到原始来源的完整证据链。,"[""RAG-SUB-knowledge_source_selection""]","[""为知识片段建立从回答到原始来源的完整证据链。"", ""能在工程场景中识别并应用“来源权威性与溯源”的关键约束。"", ""能够使用可复现指标评估“来源权威性与溯源”的收益、成本、风险与适用边界。""]","[""内容来自第二份专业 AI 知识包，已纳入默认检索。"", ""当前信任级别为 trusted_ai_generated，仍需团队后续抽样和逐项复核。"", ""关键专业结论必须绑定 evidence_id，并在证据不足时拒答或转人工复核。""]","{""origin_package"": ""RAG工程实训知识库_v1.0"", ""origin_node_id"": ""source_authority_provenance"", ""trust_tier"": ""trusted_ai_generated"", ""review_status"": ""pending_team_review"", ""enabled_for_runtime"": true}"
RAG-SUB-versioning_freshness,RAG-M02,版本与时效治理,2,True,控制知识库、文档、片段和索引版本，防止过时内容参与回答。,"[""RAG-SUB-source_authority_provenance""]","[""控制知识库、文档、片段和索引版本，防止过时内容参与回答。"", ""能在工程场景中识别并应用“版本与时效治理”的关键约束。"", ""能够使用可复现指标评估“版本与时效治理”的收益、成本、风险与适用边界。""]","[""内容来自第二份专业 AI 知识包，已纳入默认检索。"", ""当前信任级别为 trusted_ai_generated，仍需团队后续抽样和逐项复核。"", ""关键专业结论必须绑定 evidence_id，并在证据不足时拒答或转人工复核。""]","{""origin_package"": ""RAG工程实训知识库_v1.0"", ""origin_node_id"": ""versioning_freshness"", ""trust_tier"": ""trusted_ai_generated"", ""review_status"": ""pending_team_review"", ""enabled_for_runtime"": true}"
RAG-SUB-licensing_compliance,RAG-M02,许可与合规,2,False,识别知识来源的版权、使用许可和隐私要求。,"[""RAG-SUB-versioning_freshness""]","[""识别知识来源的版权、使用许可和隐私要求。"", ""能在工程场景中识别并应用“许可与合规”的关键约束。"", ""能够使用可复现指标评估“许可与合规”的收益、成本、风险与适用边界。""]","[""内容来自第二份专业 AI 知识包，已纳入默认检索。"", ""当前信任级别为 trusted_ai_generated，仍需团队后续抽样和逐项复核。"", ""关键专业结论必须绑定 evidence_id，并在证据不足时拒答或转人工复核。""]","{""origin_package"": ""RAG工程实训知识库_v1.0"", ""origin_node_id"": ""licensing_compliance"", ""trust_tier"": ""trusted_ai_generated"", ""review_status"": ""pending_team_review"", ""enabled_for_runtime"": true}"
RAG-SUB-access_control_tenant_isolation,RAG-M04,权限过滤与多租户隔离,3,True,确保用户只能检索和查看其组织、角色和项目授权的知识。,"[""RAG-SUB-licensing_compliance""]","[""确保用户只能检索和查看其组织、角色和项目授权的知识。"", ""能在工程场景中识别并应用“权限过滤与多租户隔离”的关键约束。"", ""能够使用可复现指标评估“权限过滤与多租户隔离”的收益、成本、风险与适用边界。""]","[""内容来自第二份专业 AI 知识包，已纳入默认检索。"", ""当前信任级别为 trusted_ai_generated，仍需团队后续抽样和逐项复核。"", ""关键专业结论必须绑定 evidence_id，并在证据不足时拒答或转人工复核。""]","{""origin_package"": ""RAG工程实训知识库_v1.0"", ""origin_node_id"": ""access_control_tenant_isolation"", ""trust_tier"": ""trusted_ai_generated"", ""review_status"": ""pending_team_review"", ""enabled_for_runtime"": true}"
RAG-SUB-document_parsing,RAG-M02,文档解析,1,True,从多种文档中提取文本、结构、页码和对象信息。,"[""RAG-SUB-access_control_tenant_isolation""]","[""从多种文档中提取文本、结构、页码和对象信息。"", ""能在工程场景中识别并应用“文档解析”的关键约束。"", ""能够使用可复现指标评估“文档解析”的收益、成本、风险与适用边界。""]","[""内容来自第二份专业 AI 知识包，已纳入默认检索。"", ""当前信任级别为 trusted_ai_generated，仍需团队后续抽样和逐项复核。"", ""关键专业结论必须绑定 evidence_id，并在证据不足时拒答或转人工复核。""]","{""origin_package"": ""RAG工程实训知识库_v1.0"", ""origin_node_id"": ""document_parsing"", ""trust_tier"": ""trusted_ai_generated"", ""review_status"": ""pending_team_review"", ""enabled_for_runtime"": true}"
RAG-SUB-layout_table_extraction,RAG-M02,版面与表格提取,2,False,正确处理多栏版面、表格、图注和代码块，避免语义错位。,"[""RAG-SUB-document_parsing""]","[""正确处理多栏版面、表格、图注和代码块，避免语义错位。"", ""能在工程场景中识别并应用“版面与表格提取”的关键约束。"", ""能够使用可复现指标评估“版面与表格提取”的收益、成本、风险与适用边界。""]","[""内容来自第二份专业 AI 知识包，已纳入默认检索。"", ""当前信任级别为 trusted_ai_generated，仍需团队后续抽样和逐项复核。"", ""关键专业结论必须绑定 evidence_id，并在证据不足时拒答或转人工复核。""]","{""origin_package"": ""RAG工程实训知识库_v1.0"", ""origin_node_id"": ""layout_table_extraction"", ""trust_tier"": ""trusted_ai_generated"", ""review_status"": ""pending_team_review"", ""enabled_for_runtime"": true}"
RAG-SUB-text_cleaning_normalization,RAG-M02,文本清洗与规范化,1,True,去除噪声并统一格式，同时避免删除有业务意义的内容。,"[""RAG-SUB-layout_table_extraction""]","[""去除噪声并统一格式，同时避免删除有业务意义的内容。"", ""能在工程场景中识别并应用“文本清洗与规范化”的关键约束。"", ""能够使用可复现指标评估“文本清洗与规范化”的收益、成本、风险与适用边界。""]","[""内容来自第二份专业 AI 知识包，已纳入默认检索。"", ""当前信任级别为 trusted_ai_generated，仍需团队后续抽样和逐项复核。"", ""关键专业结论必须绑定 evidence_id，并在证据不足时拒答或转人工复核。""]","{""origin_package"": ""RAG工程实训知识库_v1.0"", ""origin_node_id"": ""text_cleaning_normalization"", ""trust_tier"": ""trusted_ai_generated"", ""review_status"": ""pending_team_review"", ""enabled_for_runtime"": true}"
RAG-SUB-deduplication,RAG-M02,内容去重,2,False,识别完全重复、近似重复和版本重复，减少检索冗余。,"[""RAG-SUB-text_cleaning_normalization""]","[""识别完全重复、近似重复和版本重复，减少检索冗余。"", ""能在工程场景中识别并应用“内容去重”的关键约束。"", ""能够使用可复现指标评估“内容去重”的收益、成本、风险与适用边界。""]","[""内容来自第二份专业 AI 知识包，已纳入默认检索。"", ""当前信任级别为 trusted_ai_generated，仍需团队后续抽样和逐项复核。"", ""关键专业结论必须绑定 evidence_id，并在证据不足时拒答或转人工复核。""]","{""origin_package"": ""RAG工程实训知识库_v1.0"", ""origin_node_id"": ""deduplication"", ""trust_tier"": ""trusted_ai_generated"", ""review_status"": ""pending_team_review"", ""enabled_for_runtime"": true}"
RAG-SUB-document_quality_checks,RAG-M02,文档质量门禁,2,True,在入库前检测解析完整性、乱码、缺页、来源和结构问题。,"[""RAG-SUB-deduplication""]","[""在入库前检测解析完整性、乱码、缺页、来源和结构问题。"", ""能在工程场景中识别并应用“文档质量门禁”的关键约束。"", ""能够使用可复现指标评估“文档质量门禁”的收益、成本、风险与适用边界。""]","[""内容来自第二份专业 AI 知识包，已纳入默认检索。"", ""当前信任级别为 trusted_ai_generated，仍需团队后续抽样和逐项复核。"", ""关键专业结论必须绑定 evidence_id，并在证据不足时拒答或转人工复核。""]","{""origin_package"": ""RAG工程实训知识库_v1.0"", ""origin_node_id"": ""document_quality_checks"", ""trust_tier"": ""trusted_ai_generated"", ""review_status"": ""pending_team_review"", ""enabled_for_runtime"": true}"
