question_id,knowledge_node_id,question_type,difficulty_level,stem,correct_answer,score_points,evidence_ids,provenance
53bc4786-a4d2-5118-ba12-9a7fb0a8cf95,RAG-M01-N03,short_answer,3,在企业RAG项目中需要应用“RAG、微调、长上下文与工具调用的选择”。请给出实施步骤、失败风险和验收证据。,"{""required_points"": [""根据知识变化、行为风格和工具执行需求选择方案"", ""理解多种方法可以组合而非互斥"", ""避免用微调承担高频事实更新"", ""方案选择必须记录业务前提""]}",30,"[""f2b2fa8a-fee3-586e-bbc3-98b5ecb5f1af"", ""3bbdce74-b29f-52ac-8394-06056f2e85f0"", ""bdafa642-49da-5f6f-897b-a1302eae874a"", ""135c2547-e958-5725-b386-ba992f9a2714""]",
f821294f-fc56-522d-9666-2ea8f956833d,RAG-M01-N04,single_choice,2,关于“需求分析、成功指标与RAG架构决策”，以下哪项表述最准确？,B,10,"[""3ed623c7-fb38-5e39-bc64-befbff600e5a""]",
245e49c7-0cbd-59ce-9273-bf5349d0c66f,RAG-M01-N04,true_false,2,先把系统做出来，再找一些问题测试。,F,10,"[""3ed623c7-fb38-5e39-bc64-befbff600e5a"", ""f48d4afb-0300-5ea2-a1e3-aad1427e3a34""]",
e6f4201d-134a-534f-9453-8c4e383bec5c,RAG-M01-N04,short_answer,3,请用不超过200字说明需求分析、成功指标与RAG架构决策的核心目标、一个适用边界和一个质量验证方法。,"{""required_points"": [""RAG项目应从用户任务、答案证据和失败代价出发。没有固定评测集和门禁，系统无法证明改动有效，也无法决定何时使用普通混合检索、层级检索、图检索或结构化查询。"", ""每项指标必须给出计算口径"", ""把模糊需求转化为可评测问题集""]}",20,"[""3ed623c7-fb38-5e39-bc64-befbff600e5a"", ""f48d4afb-0300-5ea2-a1e3-aad1427e3a34"", ""0a53a5bd-4026-5071-82ac-2b8e27cba817""]",
d4e21d64-2bea-51ce-91b2-5137ee748b6b,RAG-M01-N04,short_answer,3,在企业RAG项目中需要应用“需求分析、成功指标与RAG架构决策”。请给出实施步骤、失败风险和验收证据。,"{""required_points"": [""把模糊需求转化为可评测问题集"", ""定义准确性、时延、成本、安全和可维护性指标"", ""根据知识形态选择检索与索引策略"", ""每项指标必须给出计算口径""]}",30,"[""3ed623c7-fb38-5e39-bc64-befbff600e5a"", ""f48d4afb-0300-5ea2-a1e3-aad1427e3a34"", ""0a53a5bd-4026-5071-82ac-2b8e27cba817"", ""3d5cd78b-15d8-54f0-b2b4-db02eb10b962""]",
e5c86546-2d95-5a91-bb45-303a60db8e5b,RAG-M02-N01,single_choice,1,关于“知识源治理、可信等级与准入”，以下哪项表述最准确？,B,10,"[""3e812057-6f3c-58b4-879c-b84b70205ca3""]",
ce1b6ab6-5708-5aaa-be9a-d54b584c3a1b,RAG-M02-N01,true_false,1,公开网页都可以直接作为权威知识。,F,10,"[""3e812057-6f3c-58b4-879c-b84b70205ca3"", ""7e8f9330-fd2c-5cf2-aee7-1101bd092085""]",
bd5878c8-8b59-5a29-af36-81bcdb03a4b4,RAG-M02-N01,short_answer,2,请用不超过200字说明知识源治理、可信等级与准入的核心目标、一个适用边界和一个质量验证方法。,"{""required_points"": [""知识库质量首先取决于来源，而不是向量模型。每份资料都应有来源、所有者、适用范围、版本、授权状态和失效条件，模型生成的内容不能自动升级为权威事实。"", ""未授权敏感资料不得入库"", ""建立来源登记、授权和可信等级制度""]}",20,"[""3e812057-6f3c-58b4-879c-b84b70205ca3"", ""7e8f9330-fd2c-5cf2-aee7-1101bd092085"", ""33ddfbdd-4719-5f27-bf5d-b22f52551dcf""]",
80073267-c059-5190-8b71-df7eaa603dfd,RAG-M02-N01,short_answer,2,在企业RAG项目中需要应用“知识源治理、可信等级与准入”。请给出实施步骤、失败风险和验收证据。,"{""required_points"": [""建立来源登记、授权和可信等级制度"", ""区分原始来源、派生内容和模型生成内容"", ""定义冲突、过期和撤回处理流程"", ""未授权敏感资料不得入库""]}",30,"[""3e812057-6f3c-58b4-879c-b84b70205ca3"", ""7e8f9330-fd2c-5cf2-aee7-1101bd092085"", ""33ddfbdd-4719-5f27-bf5d-b22f52551dcf"", ""19a5d2af-6eb3-5673-b2cb-087fac1fa0be""]",
b9d71edc-d04f-580f-abb3-330c23752cc2,RAG-M02-N02,single_choice,2,关于“文档解析、清洗与结构保真”，以下哪项表述最准确？,B,10,"[""507145bd-82bf-57de-ba2c-02e7c516d149""]",
ac02b1b1-f6df-539c-bd21-b365ab51ee06,RAG-M02-N02,true_false,2,所有PDF都可以直接提取文本。,F,10,"[""507145bd-82bf-57de-ba2c-02e7c516d149"", ""459f4320-ffba-555d-9b05-e679be68ff95""]",
4b60625b-8cba-5203-8b03-fc3924d50eed,RAG-M02-N02,short_answer,3,请用不超过200字说明文档解析、清洗与结构保真的核心目标、一个适用边界和一个质量验证方法。,"{""required_points"": [""解析阶段必须尽可能保留标题层级、列表、表格、代码块和页码等结构。错误解析会污染后续所有切片和检索，不能靠更强模型自动弥补。"", ""保留原始文件和解析版本"", ""区分文本提取、OCR和版面结构解析""]}",20,"[""507145bd-82bf-57de-ba2c-02e7c516d149"", ""459f4320-ffba-555d-9b05-e679be68ff95"", ""44da0ddb-5f54-55a7-a6d2-dd3665dbd829""]",
472a1bc9-eded-5312-83c7-b91803981b02,RAG-M02-N02,short_answer,3,在企业RAG项目中需要应用“文档解析、清洗与结构保真”。请给出实施步骤、失败风险和验收证据。,"{""required_points"": [""区分文本提取、OCR和版面结构解析"", ""处理页眉页脚、断行、表格、代码和扫描件"", ""建立解析质量门禁"", ""保留原始文件和解析版本""]}",30,"[""507145bd-82bf-57de-ba2c-02e7c516d149"", ""459f4320-ffba-555d-9b05-e679be68ff95"", ""44da0ddb-5f54-55a7-a6d2-dd3665dbd829"", ""d3ec5725-8e5f-57b6-aec7-c0f45172e0bb""]",
7d875457-ec0b-535d-aaaa-8729de995df7,RAG-M02-N03,single_choice,2,关于“切片策略、语义边界与父子结构”，以下哪项表述最准确？,B,10,"[""afb69292-46aa-55c7-b4b5-5b895d9d4513""]",
22055101-d133-5b4f-9757-8ebd6a30eba9,RAG-M02-N03,true_false,2,chunk size越大，模型得到的信息越多，所以越好。,F,10,"[""afb69292-46aa-55c7-b4b5-5b895d9d4513"", ""42e17c0b-2db3-52ac-b398-eca5dc702b4f""]",
4d4ad22d-37b5-5d0e-b357-99e930ed554a,RAG-M02-N03,short_answer,3,请用不超过200字说明切片策略、语义边界与父子结构的核心目标、一个适用边界和一个质量验证方法。,"{""required_points"": [""切片不是简单按固定字符截断，而是把资料转化为可独立检索、又保留必要上下文的证据单元。最佳策略需要用真实问题集评测，不能只凭经验设置长度。"", ""切片必须保留来源位置"", ""根据内容类型选择固定、递归、语义、层级或代码切片""]}",20,"[""afb69292-46aa-55c7-b4b5-5b895d9d4513"", ""42e17c0b-2db3-52ac-b398-eca5dc702b4f"", ""f4b2772e-9f5f-5419-9b2b-cd8a22ef39de""]",
5d72df24-5bf6-53c4-9016-dd3525fc2318,RAG-M02-N03,short_answer,3,在企业RAG项目中需要应用“切片策略、语义边界与父子结构”。请给出实施步骤、失败风险和验收证据。,"{""required_points"": [""根据内容类型选择固定、递归、语义、层级或代码切片"", ""理解chunk size与overlap的召回和噪声权衡"", ""设计父子节点与前后关系"", ""切片必须保留来源位置""]}",30,"[""afb69292-46aa-55c7-b4b5-5b895d9d4513"", ""42e17c0b-2db3-52ac-b398-eca5dc702b4f"", ""f4b2772e-9f5f-5419-9b2b-cd8a22ef39de"", ""8ccfef39-f6ff-5035-a27f-e0413f934758""]",
2dce8c93-a0a5-5123-9a14-1fba8a6a8291,RAG-M02-N04,single_choice,3,关于“元数据、版本、血缘与知识发布”，以下哪项表述最准确？,B,10,"[""110a39ee-0b6b-56b0-9c4f-626fbb785b1a""]",
15a95d30-8ec7-508e-8ba6-bf0a4c154149,RAG-M02-N04,true_false,3,metadata只是方便展示，可以后补。,F,10,"[""110a39ee-0b6b-56b0-9c4f-626fbb785b1a"", ""de2d06e7-6962-5ce2-b3f9-b8d983be22b8""]",
5b121759-64ae-58ad-b351-cddeeef6be36,RAG-M02-N04,short_answer,4,请用不超过200字说明元数据、版本、血缘与知识发布的核心目标、一个适用边界和一个质量验证方法。,"{""required_points"": [""元数据是知识库治理与检索控制面。一个可发布的知识版本应固定文档、切片、索引、嵌入模型、图结构、评测结果和审批记录，不能在运行中悄然变化。"", ""发布版本不可原地修改"", ""设计检索、权限、引用和回滚所需元数据""]}",20,"[""110a39ee-0b6b-56b0-9c4f-626fbb785b1a"", ""de2d06e7-6962-5ce2-b3f9-b8d983be22b8"", ""8682abe8-16eb-58ff-8869-c1fa1c56290c""]",
434aaf76-a914-5d0b-b423-a0e77630fb67,RAG-M02-N04,short_answer,4,在企业RAG项目中需要应用“元数据、版本、血缘与知识发布”。请给出实施步骤、失败风险和验收证据。,"{""required_points"": [""设计检索、权限、引用和回滚所需元数据"", ""实现不可变知识版本和激活指针"", ""追踪原始资料到最终证据的血缘"", ""发布版本不可原地修改""]}",30,"[""110a39ee-0b6b-56b0-9c4f-626fbb785b1a"", ""de2d06e7-6962-5ce2-b3f9-b8d983be22b8"", ""8682abe8-16eb-58ff-8869-c1fa1c56290c"", ""4cb0290e-cbda-526c-b420-5e1044866f55""]",
1f84c524-c4bb-5ec5-adef-da6c3895f1cb,RAG-M03-N01,single_choice,2,关于“文本嵌入、向量表示与相似度”，以下哪项表述最准确？,B,10,"[""d2603583-8af0-5455-9b44-3d5e989c94c1""]",
cfdbb776-c268-57d5-851f-ecc3e4962409,RAG-M03-N01,true_false,2,语义相关就一定事实相关。,F,10,"[""d2603583-8af0-5455-9b44-3d5e989c94c1"", ""32df7ce1-8afb-5cfb-9b25-91de8fed3532""]",
90d329c1-2d5b-50e7-a5c6-ec2faff4c8fa,RAG-M03-N01,short_answer,3,请用不超过200字说明文本嵌入、向量表示与相似度的核心目标、一个适用边界和一个质量验证方法。,"{""required_points"": [""文本嵌入把查询和知识片段映射到向量空间，使语义相近内容可以通过距离或相似度检索。模型语言、领域、维度和归一化方式必须与索引及评测保持一致。"", ""嵌入模型和预处理必须记录版本"", ""解释嵌入向量用于表示语义相似性的基本机制""]}",20,"[""d2603583-8af0-5455-9b44-3d5e989c94c1"", ""32df7ce1-8afb-5cfb-9b25-91de8fed3532"", ""9b9b3e6f-796b-5b9e-b2ac-7dd455c1f2f0""]",
ca677501-0fe7-5a92-9a39-5daea21edc60,RAG-M03-N01,short_answer,3,在企业RAG项目中需要应用“文本嵌入、向量表示与相似度”。请给出实施步骤、失败风险和验收证据。,"{""required_points"": [""解释嵌入向量用于表示语义相似性的基本机制"", ""区分余弦相似度、内积和欧氏距离"", ""设计嵌入模型选型与离线评测"", ""嵌入模型和预处理必须记录版本""]}",30,"[""d2603583-8af0-5455-9b44-3d5e989c94c1"", ""32df7ce1-8afb-5cfb-9b25-91de8fed3532"", ""9b9b3e6f-796b-5b9e-b2ac-7dd455c1f2f0"", ""2e9c8abd-4f76-5113-9886-e0d3edd77542""]",
1f3b5424-e624-5cb5-a15b-ec28bd24817c,RAG-M03-N02,single_choice,3,关于“向量存储、精确搜索、HNSW与IVFFlat”，以下哪项表述最准确？,B,10,"[""0db4adce-4113-5ed8-844f-89563f132422""]",
9024e22a-d0d0-5d31-8f42-fa2a624e90fa,RAG-M03-N02,true_false,3,上了HNSW以后结果和精确搜索完全相同。,F,10,"[""0db4adce-4113-5ed8-844f-89563f132422"", ""5e8ced64-0f8f-5a42-906f-fa6ec450dc0f""]",
27aa7850-9970-59f0-81ec-24a30e6f0f6c,RAG-M03-N02,short_answer,4,请用不超过200字说明向量存储、精确搜索、HNSW与IVFFlat的核心目标、一个适用边界和一个质量验证方法。,"{""required_points"": [""向量存储负责保存嵌入和执行最近邻搜索。精确搜索提供基准召回；HNSW通常有较好的速度-召回权衡但构建和内存成本较高；IVFFlat构建更轻但需要训练和调参。"", ""上线前必须有精确检索基线"", ""在PostgreSQL/pgvector中存储和查询向量""]}",20,"[""0db4adce-4113-5ed8-844f-89563f132422"", ""5e8ced64-0f8f-5a42-906f-fa6ec450dc0f"", ""383e3b96-5fe2-5637-975e-836e1a294892""]",
0e065e56-d383-5f21-9970-5f8cb01258bf,RAG-M03-N02,short_answer,4,在企业RAG项目中需要应用“向量存储、精确搜索、HNSW与IVFFlat”。请给出实施步骤、失败风险和验收证据。,"{""required_points"": [""在PostgreSQL/pgvector中存储和查询向量"", ""理解精确检索与近似检索的权衡"", ""根据数据量、更新频率和过滤条件选择索引"", ""上线前必须有精确检索基线""]}",30,"[""0db4adce-4113-5ed8-844f-89563f132422"", ""5e8ced64-0f8f-5a42-906f-fa6ec450dc0f"", ""383e3b96-5fe2-5637-975e-836e1a294892"", ""881618b9-0202-5397-b16b-fb002bf8a858""]",
935700bc-dcf8-5fb8-9f6a-483142fcfd14,RAG-M03-N03,single_choice,2,关于“BM25、关键词检索与精确术语召回”，以下哪项表述最准确？,B,10,"[""6cf90763-ba94-5e6b-af2b-df4a83374646""]",
d64f8e18-c6df-5fbf-a446-53a058e8cbc6,RAG-M03-N03,true_false,2,向量检索出现后关键词检索已经过时。,F,10,"[""6cf90763-ba94-5e6b-af2b-df4a83374646"", ""d95931d9-b4cc-59ae-883d-8742ad35e137""]",
42e02728-0041-5700-901d-dcca9d454a4c,RAG-M03-N03,short_answer,3,请用不超过200字说明BM25、关键词检索与精确术语召回的核心目标、一个适用边界和一个质量验证方法。,"{""required_points"": [""关键词检索根据词项出现和区分度排序，擅长编号、产品名、错误码、函数名和罕见术语。它与向量检索互补，是混合检索不可缺少的基线。"", ""保留原始查询与规范化查询"", ""解释稀疏检索对精确词项的价值""]}",20,"[""6cf90763-ba94-5e6b-af2b-df4a83374646"", ""d95931d9-b4cc-59ae-883d-8742ad35e137"", ""6eae105b-244f-5e5f-8fdd-4ef9df1231dd""]",
07a5aa99-659b-5615-9107-dd6e2e0dc41e,RAG-M03-N03,short_answer,3,在企业RAG项目中需要应用“BM25、关键词检索与精确术语召回”。请给出实施步骤、失败风险和验收证据。,"{""required_points"": [""解释稀疏检索对精确词项的价值"", ""识别分词、停用词和领域词典对中文检索的影响"", ""设计关键词检索基线"", ""保留原始查询与规范化查询""]}",30,"[""6cf90763-ba94-5e6b-af2b-df4a83374646"", ""d95931d9-b4cc-59ae-883d-8742ad35e137"", ""6eae105b-244f-5e5f-8fdd-4ef9df1231dd"", ""518d537b-59a6-5d48-8df2-0b35bb37c0b8""]",
6f4d0398-017c-598e-b2dd-399a9f5f7cd3,RAG-M03-N04,single_choice,3,关于“混合检索、分数融合与RRF”，以下哪项表述最准确？,B,10,"[""7d448bf9-e164-5a44-81cd-86a76d56dcfa""]",
7bf91f88-964a-5bef-92cc-d64916df427a,RAG-M03-N04,true_false,3,混合检索就是把两种分数直接相加。,F,10,"[""7d448bf9-e164-5a44-81cd-86a76d56dcfa"", ""3a1befcf-aede-53f8-9b53-b51f618c12b4""]",
19232db4-b957-5e62-a9af-b554d7f03fe7,RAG-M03-N04,short_answer,4,请用不超过200字说明混合检索、分数融合与RRF的核心目标、一个适用边界和一个质量验证方法。,"{""required_points"": [""混合检索利用关键词的精确匹配和向量的语义匹配。RRF按照多个结果列表中的排名融合，不要求原始分数位于同一尺度，适合作为稳定基线。"", ""融合前保留原始排名"", ""组合关键词和向量检索结果""]}",20,"[""7d448bf9-e164-5a44-81cd-86a76d56dcfa"", ""3a1befcf-aede-53f8-9b53-b51f618c12b4"", ""0c530834-1e07-54de-8e39-8511bc1658c0""]",
be7c37e1-b087-56e6-a14d-942167405b3e,RAG-M03-N04,short_answer,4,在企业RAG项目中需要应用“混合检索、分数融合与RRF”。请给出实施步骤、失败风险和验收证据。,"{""required_points"": [""组合关键词和向量检索结果"", ""理解分数归一化与基于排名融合的差异"", ""通过固定评测集确定融合参数"", ""融合前保留原始排名""]}",30,"[""7d448bf9-e164-5a44-81cd-86a76d56dcfa"", ""3a1befcf-aede-53f8-9b53-b51f618c12b4"", ""0c530834-1e07-54de-8e39-8511bc1658c0"", ""716788a5-719d-5bd2-b841-55fc952f6160""]",
2304111c-2732-5d2b-b236-ee9fcf2fb7b7,RAG-M04-N01,single_choice,2,关于“查询理解、意图识别与查询改写”，以下哪项表述最准确？,B,10,"[""2216241f-58cb-509e-abb0-41c1c55bdf1f""]",
8bfc6fbd-fc2c-5283-a7ff-dd0368fe0b7c,RAG-M04-N01,true_false,2,把问题改得越长越容易检索。,F,10,"[""2216241f-58cb-509e-abb0-41c1c55bdf1f"", ""65b31f9f-9013-512f-bbda-cc2200a4f140""]",
96d1e7ad-23ab-5ec6-9268-735c5b3643a5,RAG-M04-N01,short_answer,3,请用不超过200字说明查询理解、意图识别与查询改写的核心目标、一个适用边界和一个质量验证方法。,"{""required_points"": [""用户问题往往包含省略、上下文指代、拼写和多个子问题。查询处理应在不改变原意的前提下生成检索计划，并保留原始问题用于审计。"", ""关键限定词不得丢失"", ""识别定义、比较、步骤、故障、多跳和拒答意图""]}",20,"[""2216241f-58cb-509e-abb0-41c1c55bdf1f"", ""65b31f9f-9013-512f-bbda-cc2200a4f140"", ""9856893b-3706-5d35-9fd0-b1563a39dcba""]",
23fb1dd8-2889-5c25-b979-dbbf6360de54,RAG-M04-N01,short_answer,3,在企业RAG项目中需要应用“查询理解、意图识别与查询改写”。请给出实施步骤、失败风险和验收证据。,"{""required_points"": [""识别定义、比较、步骤、故障、多跳和拒答意图"", ""把口语、指代和缩写转换为可检索表达"", ""控制查询扩展避免语义漂移"", ""关键限定词不得丢失""]}",30,"[""2216241f-58cb-509e-abb0-41c1c55bdf1f"", ""65b31f9f-9013-512f-bbda-cc2200a4f140"", ""9856893b-3706-5d35-9fd0-b1563a39dcba"", ""bb2ff342-0006-574c-8c09-7a5c49b1524f""]",
7d81ce6e-8939-5616-aba5-26aa306be6c5,RAG-M04-N02,single_choice,3,关于“元数据过滤、租户隔离与权限检索”，以下哪项表述最准确？,B,10,"[""060b18e5-ed29-50d7-9cf1-d2cb7ae22fed""]",
3911b957-8047-590c-b2ef-68f1506da2bf,RAG-M04-N02,true_false,3,在Prompt里写“不要泄露敏感信息”就足够。,F,10,"[""060b18e5-ed29-50d7-9cf1-d2cb7ae22fed"", ""190248c5-ff2b-5d24-8f12-8dca4b602d96""]",
37fa19f9-70a3-54ea-b108-f28c5c40fa2a,RAG-M04-N02,short_answer,4,请用不超过200字说明元数据过滤、租户隔离与权限检索的核心目标、一个适用边界和一个质量验证方法。,"{""required_points"": [""权限必须在检索层实施，而不是先检索敏感内容再让生成模型“不要显示”。所有查询都应绑定调用者、组织、激活知识版本和允许的安全标签。"", ""权限条件由后端注入且不可被Agent覆盖"", ""在召回前应用租户、角色、版本和有效期过滤""]}",20,"[""060b18e5-ed29-50d7-9cf1-d2cb7ae22fed"", ""190248c5-ff2b-5d24-8f12-8dca4b602d96"", ""772c18e9-a423-5492-80df-214c3e326a87""]",
cbf269be-52f0-5a86-bd82-9f125cbf225c,RAG-M04-N02,short_answer,4,在企业RAG项目中需要应用“元数据过滤、租户隔离与权限检索”。请给出实施步骤、失败风险和验收证据。,"{""required_points"": [""在召回前应用租户、角色、版本和有效期过滤"", ""防止检索侧数据越权"", ""验证过滤与近似索引的交互"", ""权限条件由后端注入且不可被Agent覆盖""]}",30,"[""060b18e5-ed29-50d7-9cf1-d2cb7ae22fed"", ""190248c5-ff2b-5d24-8f12-8dca4b602d96"", ""772c18e9-a423-5492-80df-214c3e326a87"", ""4e5f6c43-7704-5ab0-be5b-c059a68e3b4b""]",
55ca6c77-b6b1-56ec-b26a-6036a3d10e32,RAG-M04-N03,single_choice,3,关于“候选重排、交叉编码器与多阶段检索”，以下哪项表述最准确？,B,10,"[""cea9d066-c4b0-5d51-826e-5bf6970b3b7b""]",
ac80ecd0-15c9-5fec-b7e2-d476e9590c9e,RAG-M04-N03,true_false,3,重排器可以修复第一阶段漏检。,F,10,"[""cea9d066-c4b0-5d51-826e-5bf6970b3b7b"", ""825fd4ce-5fd5-5a03-b094-ae387480ea2d""]",
6b0bff72-1dbc-5dd2-84b0-c6165c777a79,RAG-M04-N03,short_answer,4,请用不超过200字说明候选重排、交叉编码器与多阶段检索的核心目标、一个适用边界和一个质量验证方法。,"{""required_points"": [""第一阶段检索追求召回，重排阶段用更精细的查询-片段交互提高头部相关性。重排不是替代召回；候选中没有正确证据时，再强的重排也无法恢复。"", ""保留重排前后排名"", ""理解召回与精排的职责差异""]}",20,"[""cea9d066-c4b0-5d51-826e-5bf6970b3b7b"", ""825fd4ce-5fd5-5a03-b094-ae387480ea2d"", ""f485d3df-f7e5-552d-b6f5-f7cb733477a0""]",
542074ac-6c20-5b5d-a99a-d335a086ef6b,RAG-M04-N03,short_answer,4,在企业RAG项目中需要应用“候选重排、交叉编码器与多阶段检索”。请给出实施步骤、失败风险和验收证据。,"{""required_points"": [""理解召回与精排的职责差异"", ""设计候选池和重排top-n参数"", ""测量重排收益、时延和失败模式"", ""保留重排前后排名""]}",30,"[""cea9d066-c4b0-5d51-826e-5bf6970b3b7b"", ""825fd4ce-5fd5-5a03-b094-ae387480ea2d"", ""f485d3df-f7e5-552d-b6f5-f7cb733477a0"", ""77e2ed0e-4e52-5024-90b5-73020341f9ce""]",
1d4c7ecd-db46-531f-b325-1573a0c8aee6,RAG-M04-N04,single_choice,4,关于“上下文选择、压缩、排序与引用封装”，以下哪项表述最准确？,B,10,"[""24c5e9d9-1f5f-5cb1-afb7-793c9235f9c3""]",
df27b8ca-e758-5fdc-b228-29138fc2b2ca,RAG-M04-N04,true_false,4,把检索到的50段全部放进上下文最安全。,F,10,"[""24c5e9d9-1f5f-5cb1-afb7-793c9235f9c3"", ""d6441eb5-e28a-5b0b-9cd7-f1b5b94fb8a9""]",
843bf3e9-7ccc-58b4-87e7-e6d89aec9d86,RAG-M04-N04,short_answer,5,请用不超过200字说明上下文选择、压缩、排序与引用封装的核心目标、一个适用边界和一个质量验证方法。,"{""required_points"": [""最终送入模型的不是检索结果列表，而是经过权限校验、去重、冲突标记、压缩和排序的证据包。更多上下文不一定更好，关键证据应保持完整并可引用。"", ""关键条件不得因压缩丢失"", ""在token预算内选择高价值证据""]}",20,"[""24c5e9d9-1f5f-5cb1-afb7-793c9235f9c3"", ""d6441eb5-e28a-5b0b-9cd7-f1b5b94fb8a9"", ""382852a1-407f-5cb3-910f-79f9e64b28fc""]",
06087d4d-8e68-5cb8-91a9-b197402f9f87,RAG-M04-N04,short_answer,5,在企业RAG项目中需要应用“上下文选择、压缩、排序与引用封装”。请给出实施步骤、失败风险和验收证据。,"{""required_points"": [""在token预算内选择高价值证据"", ""处理重复、冲突和长上下文位置问题"", ""构建带证据ID的上下文包"", ""关键条件不得因压缩丢失""]}",30,"[""24c5e9d9-1f5f-5cb1-afb7-793c9235f9c3"", ""d6441eb5-e28a-5b0b-9cd7-f1b5b94fb8a9"", ""382852a1-407f-5cb3-910f-79f9e64b28fc"", ""b7d7f4c7-aef7-535b-a226-a6cfbb0300ef""]",
