candidate_subtopic_id,name,mapped_knowledge_node_id,priority,chunk_count,question_count,task_reference_count,decision,reviewer,reviewed_at
EXT-RAG-parent_child_multigranular,父子与多粒度检索,RAG-M07-N01,P2,4,3,1,pending,,
EXT-RAG-metadata_schema,元数据Schema设计,RAG-M02-N04,P0,4,3,1,pending,,
EXT-RAG-embedding_fundamentals,文本嵌入基础,RAG-M03-N01,P0,4,3,1,pending,,
EXT-RAG-embedding_model_selection,嵌入模型选择,RAG-M03-N01,P0,4,3,1,pending,,
EXT-RAG-similarity_metrics,向量相似度与归一化,RAG-M03-N01,P1,4,3,2,pending,,
EXT-RAG-vector_index_hnsw_ivf,向量索引与近似最近邻,RAG-M03-N02,P0,4,3,1,pending,,
EXT-RAG-bm25_sparse_retrieval,BM25与稀疏检索,RAG-M03-N03,P0,4,3,1,pending,,
EXT-RAG-dense_retrieval,稠密语义检索,RAG-M03-N01,P0,4,3,1,pending,,
EXT-RAG-hybrid_retrieval,混合检索,RAG-M03-N04,P0,4,3,1,pending,,
EXT-RAG-metadata_filtering,元数据过滤,RAG-M04-N02,P0,4,3,0,pending,,
EXT-RAG-multi_query_expansion,多查询与查询扩展,RAG-M04-N01,P2,4,3,1,pending,,
EXT-RAG-query_rewriting,查询改写,RAG-M04-N01,P0,4,3,1,pending,,
EXT-RAG-hyde_retrieval,HyDE假设文档检索,RAG-M07-N03,P2,4,3,0,pending,,
EXT-RAG-cross_encoder_reranking,交叉编码器重排序,RAG-M04-N03,P0,4,3,1,pending,,
EXT-RAG-colbert_late_interaction,ColBERT晚交互检索,RAG-M04-N03,P2,4,3,0,pending,,
EXT-RAG-diversity_mmr,MMR多样性选择,RAG-M04-N03,P1,4,3,0,pending,,
EXT-RAG-rank_fusion_rrf,RRF名次融合,RAG-M03-N04,P1,4,3,1,pending,,
EXT-RAG-context_selection_budget,上下文选择与Token预算,RAG-M04-N04,P0,4,3,1,pending,,
EXT-RAG-lost_in_the_middle,长上下文位置效应,RAG-M04-N04,P1,4,3,1,pending,,
EXT-RAG-prompt_grounding,证据约束提示词,RAG-M05-N01,P0,4,3,2,pending,,
EXT-RAG-answer_abstention,拒答与不确定性,RAG-M05-N02,P0,4,3,0,pending,,
EXT-RAG-citation_generation_verification,引用生成与验证,RAG-M05-N01,P0,4,3,2,pending,,
EXT-RAG-hallucination_types,幻觉类型与根因,RAG-M05-N03,P0,4,3,1,pending,,
EXT-RAG-evidence_entailment,证据支持关系检查,RAG-M05-N03,P0,4,3,1,pending,,
EXT-RAG-review_correction_loop,审核与纠偏闭环,RAG-M05-N03,P0,4,3,1,pending,,
EXT-RAG-prompt_injection_defense,提示词注入防护,RAG-M05-N04,P0,4,3,1,pending,,
EXT-RAG-sensitive_data_privacy,敏感数据与隐私保护,RAG-M05-N04,P0,4,3,1,pending,,
EXT-RAG-retrieval_metrics,检索评测指标,RAG-M06-N01,P0,4,3,1,pending,,
EXT-RAG-generation_metrics,生成质量指标,RAG-M06-N02,P0,4,3,1,pending,,
EXT-RAG-end_to_end_evaluation,端到端RAG评测,RAG-M06-N03,P0,4,3,1,pending,,
EXT-RAG-golden_dataset_design,黄金评测集设计,RAG-M06-N03,P0,4,3,1,pending,,
EXT-RAG-online_monitoring_feedback,在线监控与反馈,RAG-M06-N04,P1,4,3,0,pending,,
EXT-RAG-agentic_rag,Agentic RAG,RAG-M07-N03,P2,4,3,1,pending,,
EXT-RAG-self_rag,Self-RAG自反思检索生成,RAG-M07-N03,P2,4,3,0,pending,,
EXT-RAG-corrective_rag,Corrective RAG,RAG-M07-N03,P2,4,3,1,pending,,
EXT-RAG-graph_rag,Graph RAG,RAG-M07-N02,P2,4,3,1,pending,,
EXT-RAG-tool_routing_multi_source,多源路由与工具选择,RAG-M07-N04,P2,4,3,1,pending,,
EXT-RAG-observability_tracing,可观测性与链路追踪,RAG-M06-N04,P0,4,3,1,pending,,
EXT-RAG-latency_cost_optimization,延迟与成本优化,RAG-M08-N03,P1,4,3,1,pending,,
EXT-RAG-caching_idempotency,缓存与幂等,RAG-M08-N02,P1,4,3,1,pending,,
EXT-RAG-deployment_fallback,部署与降级,RAG-M08-N04,P0,4,3,1,pending,,
EXT-RAG-continuous_updates_regression,持续更新与回归,RAG-M06-N03,P0,4,3,1,pending,,
