external_node_id,external_node_name,mapped_knowledge_node_id,mapped_knowledge_node_name,mapping_type,review_status
embedding_fundamentals,文本嵌入基础,RAG-M03-N01,文本嵌入、向量表示与相似度,candidate_subtopic_of,pending_expert_review
embedding_model_selection,嵌入模型选择,RAG-M03-N01,文本嵌入、向量表示与相似度,candidate_subtopic_of,pending_expert_review
similarity_metrics,向量相似度与归一化,RAG-M03-N01,文本嵌入、向量表示与相似度,candidate_subtopic_of,pending_expert_review
vector_index_hnsw_ivf,向量索引与近似最近邻,RAG-M03-N02,向量存储、精确搜索、HNSW与IVFFlat,candidate_subtopic_of,pending_expert_review
bm25_sparse_retrieval,BM25与稀疏检索,RAG-M03-N03,BM25、关键词检索与精确术语召回,candidate_subtopic_of,pending_expert_review
dense_retrieval,稠密语义检索,RAG-M03-N01,文本嵌入、向量表示与相似度,candidate_subtopic_of,pending_expert_review
hybrid_retrieval,混合检索,RAG-M03-N04,混合检索、分数融合与RRF,candidate_subtopic_of,pending_expert_review
metadata_filtering,元数据过滤,RAG-M04-N02,元数据过滤、租户隔离与权限检索,candidate_subtopic_of,pending_expert_review
multi_query_expansion,多查询与查询扩展,RAG-M04-N01,查询理解、意图识别与查询改写,candidate_subtopic_of,pending_expert_review
query_rewriting,查询改写,RAG-M04-N01,查询理解、意图识别与查询改写,candidate_subtopic_of,pending_expert_review
hyde_retrieval,HyDE假设文档检索,RAG-M07-N03,Agentic RAG、问题分解与检索自修复,candidate_subtopic_of,pending_expert_review
cross_encoder_reranking,交叉编码器重排序,RAG-M04-N03,候选重排、交叉编码器与多阶段检索,candidate_subtopic_of,pending_expert_review
colbert_late_interaction,ColBERT晚交互检索,RAG-M04-N03,候选重排、交叉编码器与多阶段检索,candidate_subtopic_of,pending_expert_review
diversity_mmr,MMR多样性选择,RAG-M04-N03,候选重排、交叉编码器与多阶段检索,candidate_subtopic_of,pending_expert_review
rank_fusion_rrf,RRF名次融合,RAG-M03-N04,混合检索、分数融合与RRF,candidate_subtopic_of,pending_expert_review
context_selection_budget,上下文选择与Token预算,RAG-M04-N04,上下文选择、压缩、排序与引用封装,candidate_subtopic_of,pending_expert_review
lost_in_the_middle,长上下文位置效应,RAG-M04-N04,上下文选择、压缩、排序与引用封装,candidate_subtopic_of,pending_expert_review
prompt_grounding,证据约束提示词,RAG-M05-N01,证据约束生成、引用与答案结构,candidate_subtopic_of,pending_expert_review
answer_abstention,拒答与不确定性,RAG-M05-N02,证据不足、拒答、追问与人工转交,candidate_subtopic_of,pending_expert_review
citation_generation_verification,引用生成与验证,RAG-M05-N01,证据约束生成、引用与答案结构,candidate_subtopic_of,pending_expert_review
hallucination_types,幻觉类型与根因,RAG-M05-N03,幻觉分类、事实审核与交叉验证,candidate_subtopic_of,pending_expert_review
evidence_entailment,证据支持关系检查,RAG-M05-N03,幻觉分类、事实审核与交叉验证,candidate_subtopic_of,pending_expert_review
review_correction_loop,审核与纠偏闭环,RAG-M05-N03,幻觉分类、事实审核与交叉验证,candidate_subtopic_of,pending_expert_review
prompt_injection_defense,提示词注入防护,RAG-M05-N04,提示注入、不可信文档与知识库安全,candidate_subtopic_of,pending_expert_review
sensitive_data_privacy,敏感数据与隐私保护,RAG-M05-N04,提示注入、不可信文档与知识库安全,candidate_subtopic_of,pending_expert_review
retrieval_metrics,检索评测指标,RAG-M06-N01,检索评测：Hit Rate、Recall、MRR与nDCG,candidate_subtopic_of,pending_expert_review
generation_metrics,生成质量指标,RAG-M06-N02,生成评测：忠实度、引用、完整性与适配,candidate_subtopic_of,pending_expert_review
end_to_end_evaluation,端到端RAG评测,RAG-M06-N03,端到端回归、消融实验与发布门禁,candidate_subtopic_of,pending_expert_review
golden_dataset_design,黄金评测集设计,RAG-M06-N03,端到端回归、消融实验与发布门禁,candidate_subtopic_of,pending_expert_review
online_monitoring_feedback,在线监控与反馈,RAG-M06-N04,可观测性、成本、时延与故障定位,candidate_subtopic_of,pending_expert_review
agentic_rag,Agentic RAG,RAG-M07-N03,Agentic RAG、问题分解与检索自修复,candidate_subtopic_of,pending_expert_review
self_rag,Self-RAG自反思检索生成,RAG-M07-N03,Agentic RAG、问题分解与检索自修复,candidate_subtopic_of,pending_expert_review
corrective_rag,Corrective RAG,RAG-M07-N03,Agentic RAG、问题分解与检索自修复,candidate_subtopic_of,pending_expert_review
graph_rag,Graph RAG,RAG-M07-N02,GraphRAG、实体关系与局部/全局查询,candidate_subtopic_of,pending_expert_review
tool_routing_multi_source,多源路由与工具选择,RAG-M07-N04,结构化、代码与多模态知识路由,candidate_subtopic_of,pending_expert_review
observability_tracing,可观测性与链路追踪,RAG-M06-N04,可观测性、成本、时延与故障定位,candidate_subtopic_of,pending_expert_review
latency_cost_optimization,延迟与成本优化,RAG-M08-N03,性能、批处理、缓存与容量规划,candidate_subtopic_of,pending_expert_review
caching_idempotency,缓存与幂等,RAG-M08-N02,持久化、事务、缓存与一致性,candidate_subtopic_of,pending_expert_review
deployment_fallback,部署与降级,RAG-M08-N04,本地开发、容器部署、安全与运维,candidate_subtopic_of,pending_expert_review
continuous_updates_regression,持续更新与回归,RAG-M06-N03,端到端回归、消融实验与发布门禁,candidate_subtopic_of,pending_expert_review
