id,module_id,name,summary,difficulty,core,importance,aliases,prerequisites,objectives,misconceptions,boundaries
RAG-M03-N03,RAG-M03,BM25、关键词检索与精确术语召回,关键词检索根据词项出现和区分度排序，擅长编号、产品名、错误码、函数名和罕见术语。它与向量检索互补，是混合检索不可缺少的基线。,2,True,0.95,"[""BM25"", ""sparse retrieval"", ""全文检索"", ""关键词检索""]","[""RAG-M02-N03""]","[""解释稀疏检索对精确词项的价值"", ""识别分词、停用词和领域词典对中文检索的影响"", ""设计关键词检索基线""]","[{""wrong"": ""向量检索出现后关键词检索已经过时。"", ""correction"": ""二者擅长的查询类型不同，生产系统常用混合检索。""}, {""wrong"": ""关键词检索不需要数据治理。"", ""correction"": ""分词、同义词、别名、字段权重和版本过滤都会影响结果。""}]","[""保留原始查询与规范化查询"", ""领域词典需要版本化"", ""关键词权重需通过评测调整""]"
RAG-M03-N04,RAG-M03,混合检索、分数融合与RRF,混合检索利用关键词的精确匹配和向量的语义匹配。RRF按照多个结果列表中的排名融合，不要求原始分数位于同一尺度，适合作为稳定基线。,3,True,1.0,"[""hybrid search"", ""reciprocal rank fusion"", ""稀疏稠密融合""]","[""RAG-M03-N01"", ""RAG-M03-N03""]","[""组合关键词和向量检索结果"", ""理解分数归一化与基于排名融合的差异"", ""通过固定评测集确定融合参数""]","[{""wrong"": ""混合检索就是把两种分数直接相加。"", ""correction"": ""需要处理分数尺度、权重、排名融合、过滤和去重。""}, {""wrong"": ""RRF不需要调参和评测。"", ""correction"": ""候选池大小、rank constant和去重规则都会影响结果。""}]","[""融合前保留原始排名"", ""禁止跨权限融合"", ""必须报告单路与混合的消融结果""]"
RAG-M04-N01,RAG-M04,查询理解、意图识别与查询改写,用户问题往往包含省略、上下文指代、拼写和多个子问题。查询处理应在不改变原意的前提下生成检索计划，并保留原始问题用于审计。,2,True,0.95,"[""query rewriting"", ""query understanding"", ""查询扩展""]","[""RAG-M03-N04""]","[""识别定义、比较、步骤、故障、多跳和拒答意图"", ""把口语、指代和缩写转换为可检索表达"", ""控制查询扩展避免语义漂移""]","[{""wrong"": ""把问题改得越长越容易检索。"", ""correction"": ""冗余扩展会稀释关键术语，改写应服务于明确检索目标。""}, {""wrong"": ""改写后的问题可以替代用户原话。"", ""correction"": ""原始输入必须保留，用于审计、反馈和语义一致性检查。""}]","[""关键限定词不得丢失"", ""每次改写要可追踪"", ""高不确定性优先追问或多路检索""]"
RAG-M04-N02,RAG-M04,元数据过滤、租户隔离与权限检索,权限必须在检索层实施，而不是先检索敏感内容再让生成模型“不要显示”。所有查询都应绑定调用者、组织、激活知识版本和允许的安全标签。,3,True,1.0,"[""metadata filter"", ""access control retrieval"", ""权限过滤""]","[""RAG-M02-N04"", ""RAG-M04-N01""]","[""在召回前应用租户、角色、版本和有效期过滤"", ""防止检索侧数据越权"", ""验证过滤与近似索引的交互""]","[{""wrong"": ""在Prompt里写“不要泄露敏感信息”就足够。"", ""correction"": ""模型不是授权边界，敏感证据必须在检索前被技术过滤。""}, {""wrong"": ""top-k返回不足只需降低过滤条件。"", ""correction"": ""不能为了数量放宽权限，应调整索引、候选池或明确返回证据不足。""}]","[""权限条件由后端注入且不可被Agent覆盖"", ""拒绝日志不得包含敏感正文"", ""版本和有效期过滤为强制字段""]"
RAG-M04-N03,RAG-M04,候选重排、交叉编码器与多阶段检索,第一阶段检索追求召回，重排阶段用更精细的查询-片段交互提高头部相关性。重排不是替代召回；候选中没有正确证据时，再强的重排也无法恢复。,3,True,0.95,"[""reranking"", ""cross-encoder"", ""多阶段检索""]","[""RAG-M03-N04"", ""RAG-M04-N02""]","[""理解召回与精排的职责差异"", ""设计候选池和重排top-n参数"", ""测量重排收益、时延和失败模式""]","[{""wrong"": ""重排器可以修复第一阶段漏检。"", ""correction"": ""重排只能重新排序已有候选，正确证据未召回时无法补回。""}, {""wrong"": ""重排模型越大越好。"", ""correction"": ""需同时满足时延、成本、领域适配和稳定性门禁。""}]","[""保留重排前后排名"", ""候选池参数需版本化"", ""重排超时必须有降级路径""]"
RAG-M04-N04,RAG-M04,上下文选择、压缩、排序与引用封装,最终送入模型的不是检索结果列表，而是经过权限校验、去重、冲突标记、压缩和排序的证据包。更多上下文不一定更好，关键证据应保持完整并可引用。,4,True,1.0,"[""context packing"", ""context compression"", ""上下文工程""]","[""RAG-M04-N03""]","[""在token预算内选择高价值证据"", ""处理重复、冲突和长上下文位置问题"", ""构建带证据ID的上下文包""]","[{""wrong"": ""把检索到的50段全部放进上下文最安全。"", ""correction"": ""过多噪声会增加成本并可能降低模型对关键证据的利用。""}, {""wrong"": ""生成式摘要天然等价于原文。"", ""correction"": ""摘要可能遗漏条件或引入表述偏差，必须保留原始证据和审核。""}]","[""关键条件不得因压缩丢失"", ""证据包必须可复现"", ""冲突证据不得静默合并""]"
RAG-M05-N01,RAG-M05,证据约束生成、引用与答案结构,可信生成要求模型明确知道可用证据、允许的任务和禁止扩写范围。答案中的关键专业结论应绑定证据，推断应被标注，证据不足时不能用常识补齐。,2,True,1.0,"[""grounded generation"", ""faithful generation"", ""证据约束回答""]","[""RAG-M04-N04""]","[""设计只基于证据生成的提示和输出结构"", ""把关键陈述与evidence_id绑定"", ""区分事实陈述、推断和教学改写""]","[{""wrong"": ""提示词写“不要幻觉”就能保证可信。"", ""correction"": ""还需要证据包、结构化输出、引用验证、拒答和审核。""}, {""wrong"": ""答案带了来源链接就一定有依据。"", ""correction"": ""来源可能与具体陈述无关，必须验证支持关系。""}]","[""无证据的专业陈述不得发布"", ""类比必须标记其边界"", ""输出先过Schema再进入事实审核""]"
RAG-M05-N02,RAG-M05,证据不足、拒答、追问与人工转交,可信系统必须知道何时不回答。证据不足不应被视为失败，而应触发扩大检索、澄清问题、说明知识边界或转人工的确定性策略。,2,True,1.0,"[""abstention"", ""refusal"", ""insufficient evidence"", ""拒答策略""]","[""RAG-M05-N01""]","[""定义证据充分性和拒答阈值"", ""区分拒答、追问、扩大检索和人工审核"", ""避免系统自信回答知识库外问题""]","[{""wrong"": ""拒答越多越安全。"", ""correction"": ""过度拒答会降低任务完成率，应通过阈值和问题类型评测平衡。""}, {""wrong"": ""找不到证据时可以用模型常识补充。"", ""correction"": ""专业培训内容应明确标记知识库外信息，默认不得直接发布。""}]","[""高风险无证据必须拒答或转人工"", ""拒答不得暴露受限资料"", ""每次拒答记录原因代码""]"
RAG-M05-N03,RAG-M05,幻觉分类、事实审核与交叉验证,幻觉不能只用一个总分表示。审核应逐项识别无证据陈述、与证据矛盾、引用不支持、条件丢失、数值或代码错误，并给出通过、修改、补检索或人工审核动作。,3,True,1.0,"[""hallucination audit"", ""事实一致性"", ""内容审核""]","[""RAG-M05-N01"", ""RAG-M05-N02""]","[""区分无依据、矛盾、引用错配和过度概括"", ""设计审核智能体的独立证据检查"", ""计算专业知识谬误率""]","[{""wrong"": ""让同一个模型再读一遍就叫交叉验证。"", ""correction"": ""有效交叉验证需要独立输入、检查标准和可比较输出。""}, {""wrong"": ""整体读起来通顺就说明专业正确。"", ""correction"": ""流畅度与事实正确性无直接保证，必须逐陈述核对。""}]","[""审核不得只使用生成器摘要"", ""阻断级问题禁止自动发布"", ""谬误率必须使用固定口径""]"
RAG-M05-N04,RAG-M05,提示注入、不可信文档与知识库安全,RAG会把外部文档送入模型，因此文档中的恶意指令可能影响模型。所有检索内容都应被视为不可信数据，不能获得系统指令或工具权限。,4,True,1.0,"[""prompt injection"", ""indirect prompt injection"", ""RAG security""]","[""RAG-M02-N01"", ""RAG-M04-N02"", ""RAG-M05-N03""]","[""识别用户直接注入和文档间接注入"", ""把知识内容与系统指令隔离"", ""设计输入、工具、输出和发布多层防线""]","[{""wrong"": ""只有用户输入会提示注入。"", ""correction"": ""被检索的外部文档同样可能包含间接注入。""}, {""wrong"": ""过滤“ignore previous instructions”一个短语即可。"", ""correction"": ""攻击可改写、编码或跨片段传播，需要结构隔离、权限控制和行为验证。""}]","[""检索证据永远视为不可信数据"", ""Agent不得从文档获得额外权限"", ""可疑来源先隔离后审核""]"
RAG-M06-N01,RAG-M06,检索评测：Hit Rate、Recall、MRR与nDCG,检索评测必须脱离生成模型单独进行。Hit Rate关注是否命中，Recall关注相关证据覆盖，MRR关注首个相关结果位置，nDCG考虑多级相关性和排序。,2,True,1.0,"[""retrieval evaluation"", ""Recall@k"", ""MRR"", ""nDCG""]","[""RAG-M01-N04"", ""RAG-M04-N03""]","[""构建查询与相关证据标注集"", ""计算常用检索指标并解释差异"", ""按查询类型定位检索失败""]","[{""wrong"": ""Hit@5高就说明上下文一定优质。"", ""correction"": ""还要看其他相关证据、重复噪声、排序和上下文精度。""}, {""wrong"": ""用最终模型答案评估检索即可。"", ""correction"": ""生成模型可能凭记忆答对或误用证据，必须单独评测检索。""}]","[""测试集需固定版本"", ""标注需保留依据"", ""发布报告必须包含分类型指标""]"
RAG-M06-N02,RAG-M06,生成评测：忠实度、引用、完整性与适配,生成评测应判断答案是否被证据支持、是否覆盖任务要求、引用是否准确、表达是否适合目标学习者。一个答案可能事实正确但不完整，也可能难度错配。,3,True,1.0,"[""generation evaluation"", ""faithfulness"", ""citation correctness"", ""难度适配""]","[""RAG-M05-N03"", ""RAG-M06-N01""]","[""分解答案为可验证专业陈述"", ""评估证据忠实度和引用支持关系"", ""测量学习者画像与资源难度适配""]","[{""wrong"": ""答案事实正确就代表适合学习者。"", ""correction"": ""资源还需要匹配目标、前置知识、表达形式和任务难度。""}, {""wrong"": ""LLM-as-a-judge分数可以直接当最终结论。"", ""correction"": ""自动评审需校准、抽检并与人工标注比较。""}]","[""专业谬误率需人工或权威规则确认"", ""自动评审Prompt和模型要版本化"", ""适配评测必须覆盖多类画像""]"
RAG-M06-N03,RAG-M06,端到端回归、消融实验与发布门禁,RAG系统的改动可能改善一个指标同时损害另一个。每次知识、切片、嵌入、检索、重排、Prompt或模型变更，都应在固定数据集上回归并与基线比较。,3,True,1.0,"[""RAG regression"", ""ablation study"", ""quality gate""]","[""RAG-M06-N01"", ""RAG-M06-N02""]","[""建立版本级回归流程"", ""通过消融识别每个组件真实贡献"", ""定义阻断发布的质量门禁""]","[{""wrong"": ""新版本总体平均分更高就可以发布。"", ""correction"": ""关键类别、安全和阻断项的退化不能被平均值掩盖。""}, {""wrong"": ""消融实验只适合论文。"", ""correction"": ""它也是工程上判断复杂组件是否值得成本的直接方法。""}]","[""回归数据集不可随意删除失败案例"", ""阻断门禁需负责人批准变更"", ""报告必须保留基线版本""]"
RAG-M06-N04,RAG-M06,可观测性、成本、时延与故障定位,生产RAG需要把一次请求拆解为可观测事件。关联ID、知识版本、检索结果、模型调用、审核和决策必须串联，才能解释系统为何给出某个结果。,4,True,0.95,"[""RAG observability"", ""tracing"", ""cost monitoring""]","[""RAG-M01-N02"", ""RAG-M06-N03""]","[""设计跨后端、检索、Agent和模型的追踪字段"", ""分解时延和成本"", ""用事件回放定位失败节点""]","[{""wrong"": ""只记录最终答案和报错就够。"", ""correction"": ""需要中间检索、路由、模型、审核和状态事件才能归因。""}, {""wrong"": ""实时日志可以直接保存全部Prompt和文档。"", ""correction"": ""观测数据也受隐私和权限约束，应最小化、脱敏和分级保留。""}]","[""前端状态必须来自后端事件"", ""敏感正文不进入普通日志"", ""指标需绑定明确版本""]"
RAG-M07-N01,RAG-M07,父子检索、层级检索与长文档问答,层级检索用较小叶子节点提高命中精度，再返回对应父节点或邻接节点补充完整上下文，适合教材、规范和章节结构明显的长文档。,3,False,0.85,"[""parent-child retrieval"", ""hierarchical retrieval"", ""层级RAG""]","[""RAG-M02-N03"", ""RAG-M04-N04""]","[""设计父节点和叶子节点的层级关系"", ""用小块定位、大块补充上下文"", ""评测层级检索对长文档问题的收益""]","[{""wrong"": ""父子检索只是把chunk size设置成两个值。"", ""correction"": ""还需要持久化节点关系、回溯策略、合并去重和上下文预算。""}, {""wrong"": ""返回完整父章节一定更好。"", ""correction"": ""父章节可能过大并带入噪声，需要窗口化和评测。""}]","[""父子关系必须可验证"", ""权限在父子回溯时仍生效"", ""长文档策略需与普通混合检索对比""]"
RAG-M07-N02,RAG-M07,GraphRAG、实体关系与局部/全局查询,GraphRAG把实体、关系和社区结构用于检索，适合多跳关系、依赖链和整体主题问题。它不是普通问答的默认方案，图抽取错误和构建成本必须通过评测证明值得。,4,False,0.9,"[""GraphRAG"", ""knowledge graph RAG"", ""图检索""]","[""RAG-M02-N04"", ""RAG-M06-N01""]","[""判断何时需要图结构而不是纯文本相似度"", ""区分局部实体查询与全局主题查询"", ""理解图构建成本和证据回溯要求""]","[{""wrong"": ""GraphRAG在所有问题上都比向量检索强。"", ""correction"": ""单点事实和普通语义问答通常不需要承担图构建与查询成本。""}, {""wrong"": ""模型抽取出的关系可以直接当事实。"", ""correction"": ""关系是派生知识，必须绑定原文证据并通过审核。""}]","[""图边必须有来源证据"", ""全局查询必须设置成本上限"", ""图策略上线前需证明相对基线收益""]"
RAG-M07-N03,RAG-M07,Agentic RAG、问题分解与检索自修复,Agentic RAG把固定检索流水线扩展为受策略约束的计划-执行-检查循环。它适合复杂、多跳或证据不足的问题，普通事实问题仍应走低成本确定性路径。,4,False,0.9,"[""Agentic RAG"", ""adaptive retrieval"", ""multi-step retrieval""]","[""RAG-M04-N01"", ""RAG-M05-N02"", ""RAG-M06-N04""]","[""让Agent根据问题选择检索工具和步骤"", ""设计证据充分性检查与重试上限"", ""避免无限循环和不可解释的自主行为""]","[{""wrong"": ""Agentic RAG就是让模型自由决定所有步骤。"", ""correction"": ""生产系统需要工具白名单、状态机、预算、Schema和后端授权。""}, {""wrong"": ""所有问题都应该走多步Agent。"", ""correction"": ""简单查询使用固定路径更快、更便宜、更稳定。""}]","[""工具与状态边由代码控制"", ""循环有硬上限"", ""高风险工具必须人工确认""]"
RAG-M07-N04,RAG-M07,结构化、代码与多模态知识路由,不是所有知识都应转成普通文本向量。表格和实时指标应结构化查询，代码应保留符号与调用关系，图片和流程图需要视觉或说明索引，再由检索计划组合证据。,5,False,0.85,"[""structured RAG"", ""code RAG"", ""multimodal RAG"", ""知识类型路由""]","[""RAG-M01-N04"", ""RAG-M07-N03""]","[""按知识类型选择结构化查询、符号检索或多模态索引"", ""组合多种证据并保留来源"", ""设计路由错误的降级策略""]","[{""wrong"": ""把表格、代码和图片转成文本就完全等价。"", ""correction"": ""转换可能丢失结构、位置、类型和精确数值，需要保留原始模态。""}, {""wrong"": ""自动路由模型的选择不需要测试。"", ""correction"": ""路由错误会让正确知识无法召回，应建立知识类型与问题类型黄金集。""}]","[""精确数值优先结构化查询"", ""代码保留符号关系"", ""视觉证据保留原始资产引用""]"
RAG-M08-N01,RAG-M08,知识服务API、契约与Agent集成,知识库应作为可替换服务或模块向后端和Agent提供稳定契约。调用者传入知识版本、查询、top-k和不可覆盖的过滤条件，返回结构化证据而不是自由文本答案。,2,True,1.0,"[""knowledge API"", ""retrieval service"", ""Agent interface""]","[""RAG-M01-N02"", ""RAG-M02-N04""]","[""定义检索请求、响应和证据对象"", ""使用OpenAPI与JSON Schema冻结边界"", ""实现版本、幂等、错误码和兼容性策略""]","[{""wrong"": ""Agent之间直接传任意JSON更灵活。"", ""correction"": ""无契约会导致字段漂移、无法并行开发和难以测试。""}, {""wrong"": ""检索API应该直接返回最终答案。"", ""correction"": ""知识服务返回证据，资源生成和审核由各自Agent完成。""}]","[""浏览器不得直接访问内部检索服务"", ""所有输出先过Schema"", ""破坏性变更需要显式版本""]"
RAG-M08-N02,RAG-M08,持久化、事务、缓存与一致性,PostgreSQL保存权威元数据、画像、证据和事件；对象存储保存原始大文件；Redis用于缓存、锁和短期队列。前端和专业Agent均不直接任意写数据库。,3,True,0.95,"[""RAG persistence"", ""database consistency"", ""cache invalidation""]","[""RAG-M02-N04"", ""RAG-M08-N01""]","[""把权威业务数据、知识元数据、文件和缓存分层存储"", ""控制版本发布与激活事务"", ""设计缓存键和失效策略""]","[{""wrong"": ""数据库也是通过前端API直接连接。"", ""correction"": ""前端只调用后端API，后端使用数据库驱动或ORM连接数据库。""}, {""wrong"": ""Redis里的状态足以恢复工作流。"", ""correction"": ""缓存和消息可能丢失，权威状态与事件必须持久化。""}]","[""客户端不持有数据库凭据"", ""缓存必须可重建"", ""激活版本切换需要事务与审计""]"
RAG-M08-N03,RAG-M08,性能、批处理、缓存与容量规划,性能优化必须建立在质量门禁之上。通过批量嵌入、索引调优、缓存、并行召回和分层模型降低成本，同时监测召回退化和长尾时延。,4,False,0.85,"[""RAG performance"", ""latency optimization"", ""capacity planning""]","[""RAG-M03-N02"", ""RAG-M06-N04"", ""RAG-M08-N02""]","[""建立容量模型与负载测试"", ""优化嵌入、检索、重排和模型调用"", ""设计超时、降级与背压""]","[{""wrong"": ""减少top-k一定能同时提高速度和质量。"", ""correction"": ""速度可能提高，但关键证据召回可能下降，需要质量-性能联合评测。""}, {""wrong"": ""缓存越多越好。"", ""correction"": ""缓存键、权限、版本、失效和隐私成本必须一起考虑。""}]","[""性能优化不得突破质量下限"", ""所有外部调用有超时"", ""系统必须有背压和降级""]"
RAG-M08-N04,RAG-M08,本地开发、容器部署、安全与运维,开发期可以在本机用Docker Compose运行完整依赖，代码通过GitHub协作；部署时将同样的服务边界迁移到Linux服务器。逻辑分离比是否同一台机器更重要。,5,False,0.9,"[""RAG deployment"", ""Docker Compose"", ""production hardening""]","[""RAG-M08-N01"", ""RAG-M08-N02"", ""RAG-M08-N03""]","[""用本地容器环境支持多人并行开发"", ""把前端、后端、Agent、数据库和缓存逻辑隔离"", ""制定生产安全、备份、迁移和回滚计划""]","[{""wrong"": ""本地开发后部署只需把代码复制到服务器。"", ""correction"": ""还需要环境配置、持久化卷、迁移、反向代理、安全、监控和恢复演练。""}, {""wrong"": ""服务在同一台服务器就不需要内部权限。"", ""correction"": ""逻辑边界和最小权限仍然需要，防止单点失陷扩散。""}]","[""密钥不进Git"", ""内部端口不对公网"", ""发布前必须验证备份和回滚""]"
