task_id,knowledge_node_id,title,scenario,instructions,deliverables,difficulty_level,estimated_minutes,rubric_id,evidence_ids
73dbee3b-b734-5faf-9c8b-368c6092937d,RAG-M03-N03,构建领域BM25基线,,,,3,60,6b51de75-d235-5b2b-a50c-63b8ca91dfb1,"[""6cf90763-ba94-5e6b-af2b-df4a83374646"", ""d95931d9-b4cc-59ae-883d-8742ad35e137"", ""6eae105b-244f-5e5f-8fdd-4ef9df1231dd"", ""518d537b-59a6-5d48-8df2-0b35bb37c0b8""]"
dd896fb6-43b6-5ef8-a627-5f2292f488ad,RAG-M03-N04,实现BM25+向量的RRF混合检索,,,,4,90,92be5722-9725-5a68-82a7-f3f2ede7e618,"[""7d448bf9-e164-5a44-81cd-86a76d56dcfa"", ""3a1befcf-aede-53f8-9b53-b51f618c12b4"", ""0c530834-1e07-54de-8e39-8511bc1658c0"", ""716788a5-719d-5bd2-b841-55fc952f6160""]"
d9f2b422-de99-5687-a1e1-9213deb90422,RAG-M04-N01,建立查询意图与改写测试集,,,,3,75,d6a78421-601a-5e0d-bd81-b1c9907ddd39,"[""2216241f-58cb-509e-abb0-41c1c55bdf1f"", ""65b31f9f-9013-512f-bbda-cc2200a4f140"", ""9856893b-3706-5d35-9fd0-b1563a39dcba"", ""bb2ff342-0006-574c-8c09-7a5c49b1524f""]"
2dad3524-2415-50c9-9cdd-f50b5a81b561,RAG-M04-N02,实现多租户安全检索测试,,,,4,75,c5ed7036-aec1-5deb-8645-fa9d7ec68aa6,"[""060b18e5-ed29-50d7-9cf1-d2cb7ae22fed"", ""190248c5-ff2b-5d24-8f12-8dca4b602d96"", ""772c18e9-a423-5492-80df-214c3e326a87"", ""4e5f6c43-7704-5ab0-be5b-c059a68e3b4b""]"
8eb7b437-9cde-5c1d-8e5d-62428dd5308f,RAG-M04-N03,完成重排器消融实验,,,,4,90,a918d1e6-46f5-5634-8920-c0350e217eef,"[""cea9d066-c4b0-5d51-826e-5bf6970b3b7b"", ""825fd4ce-5fd5-5a03-b094-ae387480ea2d"", ""f485d3df-f7e5-552d-b6f5-f7cb733477a0"", ""77e2ed0e-4e52-5024-90b5-73020341f9ce""]"
b77b6d0d-03e9-51c8-917c-9d04e1d7d8e3,RAG-M04-N04,设计可引用的上下文打包器,,,,5,90,5880d15e-f503-5a5a-9ac2-f1894487b93a,"[""24c5e9d9-1f5f-5cb1-afb7-793c9235f9c3"", ""d6441eb5-e28a-5b0b-9cd7-f1b5b94fb8a9"", ""382852a1-407f-5cb3-910f-79f9e64b28fc"", ""b7d7f4c7-aef7-535b-a226-a6cfbb0300ef""]"
b3569996-3717-5d4e-95a1-1e96fe5d4c10,RAG-M05-N01,实现证据约束资源生成模板,,,,3,75,5ac13a07-0a81-53a8-ab22-915877de4588,"[""5a8c0f89-8b27-5101-ae21-3040ab75bbc2"", ""09f16411-041b-5ae5-bb68-b3f3c8583d6c"", ""621966e1-03ad-5c30-bf27-683c4ace0ac7"", ""9740184c-c0fc-50fe-9086-8aee85a60791""]"
0b600911-e3a8-5794-94ac-b7887d2cb598,RAG-M05-N02,构建回答/追问/拒答/人工四分类策略,,,,3,60,72aac741-21d3-5fba-a786-48905eb85cd6,"[""af19c081-bf31-5030-801c-104069fdfa03"", ""c56bbccd-b251-5073-b1ff-750e44f7463d"", ""29ed0fa1-79e7-50dc-8ee3-6758da64fb0f"", ""a765ce4c-c074-57e5-bfab-cceb6b9ca895""]"
03ebd5ef-5db4-524a-b28c-d2189350d0e9,RAG-M05-N03,实现资源审核Agent规则与样例集,,,,4,90,149e1a9f-ed42-57c0-9557-3069ab8a563d,"[""d2eaf759-6ded-5884-918f-e0e4e66766ba"", ""370b0b20-3e5b-5db5-bf19-622c6c4717e1"", ""16963fcf-b840-5d52-a6aa-faa7ce33f419"", ""ce4b5efc-3fd0-513c-a7bc-8c51b0a5f37b""]"
b3b1a3f1-ba9b-5c5d-b175-0357429efc43,RAG-M05-N04,完成RAG提示注入红队测试,,,,5,90,5131f85a-c626-5024-8374-b5faacae8ca9,"[""b04e4952-9eb2-502e-9cfe-41d8bd62bc49"", ""82baf3c7-5e46-5051-9dc0-ca20b8b92ff6"", ""36517c9a-c0cd-5c02-a8ba-8efdaf33764a"", ""56475a80-f5aa-571b-96a9-5cf4a4a59630""]"
42654094-7378-597a-8dae-5fdae1f553fc,RAG-M06-N01,建立100条检索黄金集,,,,3,90,8d82286b-156f-5b49-bb1e-2776001e8a6b,"[""adffd192-5ddc-5a39-b49e-54daa48cbee2"", ""b5f3a63c-bf7f-5ec5-bc9a-017bdbad9ed8"", ""c3f82abd-e2ee-5035-9af9-47b1efad9b83"", ""4664f323-58f4-55a0-8727-58b743ad4ea0""]"
a88e5d31-2e9f-5585-a86a-33dada4a3266,RAG-M06-N02,建立三画像资源评测集,,,,4,90,664e30fe-4ff3-5e6e-96f8-7f092c41a535,"[""03235f85-f938-56aa-b0ff-4bc1532ba277"", ""1d95d51a-ea33-537f-b172-a64a41a50afe"", ""5df563d9-8637-503b-8c51-890b1420fda8"", ""6424993c-4943-51fa-963a-7e9abafc2354""]"
51935828-6df6-5440-90d3-cd7413795812,RAG-M06-N03,搭建Domain Pack CI质量门禁,,,,4,90,1195f152-6719-5c5a-a179-bec148feec3e,"[""e8b6e6b1-8456-52aa-ab72-cb0f6a40cf88"", ""50735323-f303-5a3e-8a00-d9daade93e7f"", ""4e94d552-1552-5c99-9560-33aff792912d"", ""025bbb14-294e-56d7-8d1d-26b3906bec88""]"
1df81c09-ca72-5d39-bea5-57d96e9da508,RAG-M06-N04,实现一轮RAG请求的全链路追踪,,,,5,90,fb3eb16b-b87e-5c42-9d81-f98eed437a1f,"[""f7a56088-095a-51e7-85ad-8b2fe9133c6f"", ""620c5f33-f3ff-5aea-8bed-876495e857a4"", ""b3f5a569-1ddd-5d60-9ab1-62aa03ffc24b"", ""9f9cf91f-b805-56c0-ae09-037cfe9a2ece""]"
e1ae029c-c471-57ed-8363-4eee2b469bd9,RAG-M07-N01,实现教材型文档父子检索,,,,4,90,b92cafd8-3751-59c6-a64d-63e9894aeddc,"[""8a6d4207-0b73-570f-88a9-0a286da9db8d"", ""8662dadf-3f31-5802-8bf9-9a4024d1fda3"", ""5beb2f8c-4908-51ba-b2b5-8020e17bcf3c"", ""38a85343-ee96-5bb6-a36d-102b65702aee""]"
b4671f20-e63a-51b8-8b55-30a2c020bd0a,RAG-M07-N02,构建RAG知识点依赖图并实现两类查询,,,,5,120,8cbcd039-8418-5da2-bc66-5145578d2754,"[""98506802-b517-54d1-830d-4593bd3abca6"", ""52ab22c2-b150-504d-a10c-3c4d2f8bf0e5"", ""2d40b0bf-895a-5c32-8073-ecf7ecf35403"", ""34ab589e-3895-5dda-af1f-7ba8ebf76721""]"
2792b963-5bcf-5e61-b4c9-ba41fcd0be88,RAG-M07-N03,实现受控多步检索工作流,,,,5,120,8913e68c-11df-5315-babb-4d2b6bf101c7,"[""48d5743b-bdaa-59ed-9b3c-6afd2a6a238d"", ""9122166e-62a5-5f90-aa9f-6b701a509ac9"", ""a06b3a62-37a7-5230-9a9a-f0ca5d15f1e9"", ""6c831bf7-0966-5b49-bcb0-319c51feb9fa""]"
b6405839-309c-5ae5-a923-0a8918602d65,RAG-M07-N04,设计多知识类型检索路由器,,,,5,120,cbd18e4a-c529-5938-bb9e-76f456a0a383,"[""62932873-51ea-5a17-86b5-b386af4b4671"", ""cc8a5bcb-a904-508d-becf-7c11bae4e059"", ""08c393ce-e227-59c9-b152-c945db8c3b40"", ""597a13ad-5a95-5959-953b-1121d00ba127""]"
7d8ab087-b76c-52f8-a2bf-8eb3c97065f8,RAG-M08-N01,实现与现有项目兼容的知识检索服务,,,,3,90,2914f09f-0c96-5d86-a5a3-a5dc5e254a08,"[""a7da9668-9a0f-5eb3-8d65-1e2f8a3f2cfb"", ""a9903154-d349-5bb0-84f1-96c0c210e11e"", ""e706b43c-21c6-5e1e-be27-a6d15bf6dca6"", ""a089978b-f264-5e1f-8ec5-299595c46819""]"
71dce51f-9b5d-5969-9541-fa5da6a321dd,RAG-M08-N02,实现Domain Pack导入与版本激活事务,,,,4,90,d9c41560-fee0-5308-8116-7578adbbdc1f,"[""a0691617-7aef-5cbb-999b-318ce930f4d5"", ""216cb12a-abee-5c74-a2e2-8ad16395fae0"", ""83d3d7ce-7589-50b3-ae42-99e860593e20"", ""e5980c5c-382b-51b1-a425-0f896e0d688e""]"
ba3dc0f9-af52-5de8-8b4a-b5896caa1e98,RAG-M08-N03,完成100并发知识检索容量测试,,,,5,105,b619c0bb-57ac-5ede-9681-fa7736e76607,"[""8d9b1474-edc1-5907-9284-c13592082a29"", ""4c1d2fed-7251-5c77-8fb9-405983e2e002"", ""a7caef67-cf4a-5fc4-a770-9f695ad627f6"", ""fd6ae84e-23a4-5b44-85a7-d12f8246b9f4""]"
531c61c6-91a1-5bce-ad47-7f2f4ebd0402,RAG-M08-N04,交付本地到服务器的一致部署方案,,,,5,120,22bee8d8-f024-567b-8080-a85d0247788f,"[""0af1e8e2-843f-554e-af8f-c5115de5ccd8"", ""9ee66678-89ed-5378-b51f-57bc0edfe9a9"", ""cceb5911-0533-57ae-8400-8f5f80f11680"", ""58052dfe-4dc7-5155-a507-14fde93333d3""]"
